restaurant_id,restaurant_name,restaurant_city,bill_no,sold_at,payment_method,bill_total,item_code,item_name,item_category,quantity,unit_price,line_total
1,La Tortilla de Oro,Madrid,BILL-43172BCFA335,2026-05-04T11:21:37+00:00,contactless,14.5,TORTILLA_JAMON,Tortilla con Jamón,tortilla,1,10.5,10.5
1,La Tortilla de Oro,Madrid,BILL-43172BCFA335,2026-05-04T11:21:37+00:00,contactless,14.5,BREAD,Pan Tostado,sides,2,2.0,4.0
1,La Tortilla de Oro,Madrid,BILL-28DB7719E52D,2026-05-04T13:08:48+00:00,cash,10.5,TORTILLA_JAMON,Tortilla con Jamón,tortilla,1,10.5,10.5
1,La Tortilla de Oro,Madrid,BILL-0F49B782D28A,2026-05-04T14:44:40+00:00,cash,37.8,TORTILLA_VEGAN,Tortilla Vegana,tortilla,3,9.0,27.0
1,La Tortilla de Oro,Madrid,BILL-0F49B782D28A,2026-05-04T14:44:40+00:00,cash,37.8,WATER,Agua Mineral,drinks,1,1.2,1.2
1,La Tortilla de Oro,Madrid,BILL-0F49B782D28A,2026-05-04T14:44:40+00:00,cash,37.8,WINE_GLASS,Vino de la Casa,drinks,3,3.2,9.6
1,La Tortilla de Oro,Madrid,BILL-9C0A88F73893,2026-05-04T14:15:19+00:00,card,41.8,TORTILLA_CLASSIC,Tortilla Española Clásica,tortilla,1,8.5,8.5
1,La Tortilla de Oro,Madrid,BILL-9C0A88F73893,2026-05-04T14:15:19+00:00,card,41.8,TORTILLA_ONION,Tortilla con Cebolla,tortilla,3,8.5,25.5
1,La Tortilla de Oro,Madrid,BILL-9C0A88F73893,2026-05-04T14:15:19+00:00,card,41.8,JUICE_OJ,Zumo de Naranja Natural,drinks,2,2.5,5.0
1,La Tortilla de Oro,Madrid,BILL-9C0A88F73893,2026-05-04T14:15:19+00:00,card,41.8,BEER,Cerveza Caña,drinks,1,2.8,2.8
1,La Tortilla de Oro,Madrid,BILL-00CAF6713F91,2026-05-04T23:00:05+00:00,card,17.0,TORTILLA_NO_ONION,Tortilla sin Cebolla,tortilla,1,8.5,8.5
1,La Tortilla de Oro,Madrid,BILL-00CAF6713F91,2026-05-04T23:00:05+00:00,card,17.0,TORTILLA_CLASSIC,Tortilla Española Clásica,tortilla,1,8.5,8.5
1,La Tortilla de Oro,Madrid,BILL-84BA58517C93,2026-05-04T14:46:24+00:00,cash,68.6,TORTILLA_ONION,Tortilla con Cebolla,tortilla,3,8.5,25.5
1,La Tortilla de Oro,Madrid,BILL-84BA58517C93,2026-05-04T14:46:24+00:00,cash,68.6,TORTILLA_CLASSIC,Tortilla Española Clásica,tortilla,3,8.5,25.5
1,La Tortilla de Oro,Madrid,BILL-84BA58517C93,2026-05-04T14:46:24+00:00,cash,68.6,JUICE_OJ,Zumo de Naranja Natural,drinks,2,2.5,5.0
1,La Tortilla de Oro,Madrid,BILL-84BA58517C93,2026-05-04T14:46:24+00:00,cash,68.6,TORTILLA_VEGAN,Tortilla Vegana,tortilla,1,9.0,9.0
1,La Tortilla de Oro,Madrid,BILL-84BA58517C93,2026-05-04T14:46:24+00:00,cash,68.6,COFFEE,Café con Leche,drinks,2,1.8,3.6
1,La Tortilla de Oro,Madrid,BILL-A9C3B40B0E02,2026-05-04T13:32:35+00:00,cash,63.5,TORTILLA_NO_ONION,Tortilla sin Cebolla,tortilla,2,8.5,17.0
